,split_1_CORR,S_1_RMSE,split_2_CORR,S_2_RMSE,split_3_CORR,S_3_RMSE,FEATURES,NUM_FEATURES
18,0.24638583744689796,23046.590202282292,0.7446544129749235,3189.8348696082035,-0.6386666997724699,6490.7671038575245,"('bitcoin_Google_Trends_prev_month', 'bitcoin_Low_prev_month', 'bitcoin_High_prev_month', 'bitcoin_Price_prev_month', 'alibaba_Price_prev_month', 'amazon_High_prev_month', 'economy_pos_sents_prev_month')",7
19,0.6040366540496608,5571.159631054282,0.6948320699654458,3623.6431558459567,-0.4215229654447725,5010.367685649554,"('bitcoin_Google_Trends_prev_month', 'bitcoin_Low_prev_month', 'bitcoin_High_prev_month', 'bitcoin_Price_prev_month', 'alibaba_High_prev_month', 'amazon_High_prev_month', 'economy_pos_sents_prev_month')",7
20,0.43827511496740146,4507.424608649164,-0.8635304404799697,5740.932295476124,0.38112562006445005,6136.523930196905,"('bitcoin_Google_Trends_prev_month', 'bitcoin_Low_prev_month', 'bitcoin_High_prev_month', 'cryptocurrency_Google_Trends_prev_month', 'alibaba_Low_prev_month', 'alibaba_Price_prev_month', 'alibaba_High_prev_month')",7
21,0.3843564754806187,4327.7204472140465,0.12141667091423848,3225.2072268694765,-0.8386542413602003,5920.347392744148,"('bitcoin_Google_Trends_prev_month', 'bitcoin_Low_prev_month', 'bitcoin_High_prev_month', 'cryptocurrency_Google_Trends_prev_month', 'alibaba_Low_prev_month', 'alibaba_Price_prev_month', 'amazon_High_prev_month')",7
22,0.3958470899179192,4605.754553407201,-0.27701510687462194,3828.2053313943566,-0.3999644057476399,7288.874263362873,"('bitcoin_Google_Trends_prev_month', 'bitcoin_Low_prev_month', 'bitcoin_High_prev_month', 'cryptocurrency_Google_Trends_prev_month', 'alibaba_Low_prev_month', 'alibaba_Price_prev_month', 'economy_pos_sents_prev_month')",7
23,0.3551089934563665,5186.372463776323,0.23364464748017177,5139.521382556071,-0.6985316322328108,6039.064553154824,"('bitcoin_Google_Trends_prev_month', 'bitcoin_Low_prev_month', 'bitcoin_High_prev_month', 'cryptocurrency_Google_Trends_prev_month', 'alibaba_Low_prev_month', 'alibaba_High_prev_month', 'amazon_High_prev_month')",7
24,0.4069724091152039,4619.995559762699,0.7939029102474805,1109.290181811767,-0.4250169819137462,7197.787070786948,"('bitcoin_Google_Trends_prev_month', 'bitcoin_Low_prev_month', 'bitcoin_High_prev_month', 'cryptocurrency_Google_Trends_prev_month', 'alibaba_Low_prev_month', 'alibaba_High_prev_month', 'economy_pos_sents_prev_month')",7
25,0.412244992447984,4601.604860533981,0.834423335661311,1682.9226709054253,0.05075270748787797,4725.332849075965,"('bitcoin_Google_Trends_prev_month', 'bitcoin_Low_prev_month', 'bitcoin_High_prev_month', 'cryptocurrency_Google_Trends_prev_month', 'alibaba_Low_prev_month', 'amazon_High_prev_month', 'economy_pos_sents_prev_month')",7
26,0.41152088373473006,5068.394219060105,-0.7877872915131103,4047.2342503030973,-0.8043511407756655,6154.100816922363,"('bitcoin_Google_Trends_prev_month', 'bitcoin_Low_prev_month', 'bitcoin_High_prev_month', 'cryptocurrency_Google_Trends_prev_month', 'alibaba_Price_prev_month', 'alibaba_High_prev_month', 'amazon_High_prev_month')",7
27,0.4166441405722052,4570.095480741277,-0.6976238106076108,5098.6749019315075,-0.5201062931025163,7200.589249666509,"('bitcoin_Google_Trends_prev_month', 'bitcoin_Low_prev_month', 'bitcoin_High_prev_month', 'cryptocurrency_Google_Trends_prev_month', 'alibaba_Price_prev_month', 'alibaba_High_prev_month', 'economy_pos_sents_prev_month')",7
28,0.4186992872140132,4584.933567730463,0.8357012969869037,1717.4478026076217,-0.10377524666833583,6140.297394361901,"('bitcoin_Google_Trends_prev_month', 'bitcoin_Low_prev_month', 'bitcoin_High_prev_month', 'cryptocurrency_Google_Trends_prev_month', 'alibaba_Price_prev_month', 'amazon_High_prev_month', 'economy_pos_sents_prev_month')",7
29,0.46000739236476657,4069.083694068998,0.8274150717316172,1531.5498188381566,-0.6207934733224036,5779.588247435373,"('bitcoin_Google_Trends_prev_month', 'bitcoin_Low_prev_month', 'bitcoin_High_prev_month', 'cryptocurrency_Google_Trends_prev_month', 'alibaba_High_prev_month', 'amazon_High_prev_month', 'economy_pos_sents_prev_month')",7
30,0.2941061083348897,5382.847453139176,-0.9268020267364061,12145.302733413659,-0.8193592536972761,6458.986023538649,"('bitcoin_Google_Trends_prev_month', 'bitcoin_Low_prev_month', 'bitcoin_High_prev_month', 'alibaba_Low_prev_month', 'alibaba_Price_prev_month', 'alibaba_High_prev_month', 'amazon_High_prev_month')",7
